S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S0-T20,S0-T21,S0-T22,S0-T23,S0-T24,S0-T25,S0-T26,S0-T27,S0-T28,S0-T29,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19,S1-T20,S1-T21,S1-T22,S1-T23,S1-T24,S1-T25,S1-T26,S1-T27,S1-T28,S1-T29,
amaz (0.006),amaz (0.006),amaz (0.006),amaz (0.006),amaz (0.006),amaz (0.006),amaz (0.006),amaz (0.006),winner (0.061),amaz (0.006),amaz (0.006),amaz (0.006),plu (0.061),amaz (0.006),amaz (0.006),amaz (0.006),amaz (0.006),amaz (0.006),amaz (0.006),coffe (0.046),amaz (0.006),amaz (0.006),bought (0.036),amaz (0.006),amaz (0.006),amaz (0.006),amaz (0.006),good (0.054),amaz (0.006),amaz (0.006),annoi (0.006),neg (0.045),annoi (0.006),annoi (0.006),coffe (0.060),annoi (0.006),annoi (0.006),annoi (0.006),annoi (0.006),annoi (0.006),annoi (0.006),annoi (0.006),annoi (0.006),annoi (0.006),annoi (0.006),annoi (0.006),annoi (0.006),apart (0.044),annoi (0.006),annoi (0.006),annoi (0.006),cup (0.058),annoi (0.006),annoi (0.006),caffein (0.044),annoi (0.006),annoi (0.006),adjust (0.054),annoi (0.006),annoi (0.006),
attract (0.006),attract (0.006),attract (0.006),attract (0.006),attract (0.006),attract (0.006),attract (0.006),attract (0.006),amaz (0.006),attract (0.006),attract (0.006),attract (0.006),amaz (0.006),attract (0.006),attract (0.006),attract (0.006),attract (0.006),attract (0.006),attract (0.006),put (0.046),attract (0.006),attract (0.006),coff (0.036),attract (0.006),attract (0.006),attract (0.006),attract (0.006),better (0.049),attract (0.006),attract (0.006),bad (0.006),actual (0.041),bad (0.006),bad (0.006),annoi (0.033),bad (0.006),bad (0.006),bad (0.006),bad (0.006),bad (0.006),bad (0.006),bad (0.006),bad (0.006),bad (0.006),bad (0.006),bad (0.006),bad (0.006),corner (0.044),bad (0.006),bad (0.006),bad (0.006),pot (0.058),bad (0.006),bad (0.006),conveni (0.044),bad (0.006),bad (0.006),strength (0.054),bad (0.006),bad (0.006),
awesom (0.006),awesom (0.006),awesom (0.006),awesom (0.006),awesom (0.006),awesom (0.006),awesom (0.006),awesom (0.006),attract (0.006),awesom (0.006),awesom (0.006),awesom (0.006),attract (0.006),awesom (0.006),awesom (0.006),awesom (0.006),awesom (0.006),awesom (0.006),awesom (0.006),good (0.025),awesom (0.006),awesom (0.006),coffe (0.036),awesom (0.006),awesom (0.006),awesom (0.006),awesom (0.006),mile (0.049),awesom (0.006),awesom (0.006),complain (0.006),base (0.041),complain (0.006),complain (0.006),mess (0.033),complain (0.006),complain (0.006),complain (0.006),complain (0.006),complain (0.006),complain (0.006),complain (0.006),complain (0.006),complain (0.006),complain (0.006),complain (0.006),complain (0.006),impair (0.044),complain (0.006),complain (0.006),complain (0.006),up (0.058),complain (0.006),complain (0.006),deliv (0.044),complain (0.006),complain (0.006),think (0.054),complain (0.006),complain (0.006),
best (0.006),best (0.006),best (0.006),best (0.006),best (0.006),best (0.006),best (0.006),best (0.006),awesom (0.006),best (0.006),best (0.006),best (0.006),awesom (0.006),best (0.006),best (0.006),best (0.006),best (0.006),best (0.006),best (0.006),afford (0.023),best (0.006),best (0.006),hous (0.036),best (0.006),best (0.006),best (0.006),best (0.006),peet (0.049),best (0.006),best (0.006),complaint (0.006),earlier (0.041),complaint (0.006),complaint (0.006),notgood (0.033),complaint (0.006),complaint (0.006),complaint (0.006),complaint (0.006),complaint (0.006),complaint (0.006),complaint (0.006),complaint (0.006),complaint (0.006),complaint (0.006),complaint (0.006),complaint (0.006),kitchen (0.044),complaint (0.006),complaint (0.006),complaint (0.006),brew (0.029),complaint (0.006),complaint (0.006),deliveri (0.044),complaint (0.006),complaint (0.006),annoi (0.005),complaint (0.006),complaint (0.006),
comfort (0.006),comfort (0.006),comfort (0.006),comfort (0.006),comfort (0.006),comfort (0.006),comfort (0.006),comfort (0.006),best (0.006),comfort (0.006),comfort (0.006),comfort (0.006),best (0.006),comfort (0.006),comfort (0.006),comfort (0.006),comfort (0.006),comfort (0.006),comfort (0.006),american (0.023),comfort (0.006),comfort (0.006),like (0.036),comfort (0.006),comfort (0.006),comfort (0.006),comfort (0.006),starbuck (0.049),comfort (0.006),comfort (0.006),disappoint (0.006),incompet (0.041),disappoint (0.006),disappoint (0.006),arrow (0.030),disappoint (0.006),disappoint (0.006),disappoint (0.006),disappoint (0.006),disappoint (0.006),disappoint (0.006),disappoint (0.006),disappoint (0.006),disappoint (0.006),disappoint (0.006),disappoint (0.006),disappoint (0.006),live (0.044),disappoint (0.006),disappoint (0.006),disappoint (0.006),buck (0.029),disappoint (0.006),disappoint (0.006),far (0.044),disappoint (0.006),disappoint (0.006),bad (0.005),disappoint (0.006),disappoint (0.006),
correct (0.006),correct (0.006),correct (0.006),correct (0.006),correct (0.006),correct (0.006),correct (0.006),correct (0.006),comfort (0.006),correct (0.006),correct (0.006),correct (0.006),comfort (0.006),correct (0.006),correct (0.006),correct (0.006),correct (0.006),correct (0.006),correct (0.006),awai (0.023),correct (0.006),correct (0.006),maker (0.036),correct (0.006),correct (0.006),correct (0.006),correct (0.006),amaz (0.005),correct (0.006),correct (0.006),hate (0.006),noth (0.041),hate (0.006),hate (0.006),burn (0.030),hate (0.006),hate (0.006),hate (0.006),hate (0.006),hate (0.006),hate (0.006),hate (0.006),hate (0.006),hate (0.006),hate (0.006),hate (0.006),hate (0.006),small (0.044),hate (0.006),hate (0.006),hate (0.006),everth (0.029),hate (0.006),hate (0.006),need (0.044),hate (0.006),hate (0.006),complain (0.005),hate (0.006),hate (0.006),
enjoi (0.006),enjoi (0.006),enjoi (0.006),enjoi (0.006),enjoi (0.006),enjoi (0.006),enjoi (0.006),enjoi (0.006),correct (0.006),enjoi (0.006),enjoi (0.006),enjoi (0.006),correct (0.006),enjoi (0.006),enjoi (0.006),enjoi (0.006),enjoi (0.006),enjoi (0.006),enjoi (0.006),babi (0.023),enjoi (0.006),enjoi (0.006),work (0.036),enjoi (0.006),enjoi (0.006),enjoi (0.006),enjoi (0.006),attract (0.005),enjoi (0.006),enjoi (0.006),inferior (0.006),read (0.041),inferior (0.006),inferior (0.006),fine (0.030),inferior (0.006),inferior (0.006),inferior (0.006),inferior (0.006),inferior (0.006),inferior (0.006),inferior (0.006),inferior (0.006),inferior (0.006),inferior (0.006),inferior (0.006),inferior (0.006),space (0.044),inferior (0.006),inferior (0.006),inferior (0.006),famili (0.029),inferior (0.006),inferior (0.006),sourc (0.044),inferior (0.006),inferior (0.006),complaint (0.005),inferior (0.006),inferior (0.006),
excel (0.006),excel (0.006),excel (0.006),excel (0.006),excel (0.006),excel (0.006),excel (0.006),excel (0.006),enjoi (0.006),excel (0.006),excel (0.006),excel (0.006),enjoi (0.006),excel (0.006),excel (0.006),excel (0.006),excel (0.006),excel (0.006),excel (0.006),bit (0.023),excel (0.006),excel (0.006),year (0.036),excel (0.006),excel (0.006),excel (0.006),excel (0.006),awesom (0.005),excel (0.006),excel (0.006),junk (0.006),review (0.041),junk (0.006),junk (0.006),hair (0.030),junk (0.006),junk (0.006),junk (0.006),junk (0.006),junk (0.006),junk (0.006),junk (0.006),junk (0.006),junk (0.006),junk (0.006),junk (0.006),junk (0.006),annoi (0.004),junk (0.006),junk (0.006),junk (0.006),fill (0.029),junk (0.006),junk (0.006),annoi (0.004),junk (0.006),junk (0.006),disappoint (0.005),junk (0.006),junk (0.006),
fantast (0.006),fantast (0.006),fantast (0.006),fantast (0.006),fantast (0.006),fantast (0.006),fantast (0.006),fantast (0.006),excel (0.006),fantast (0.006),fantast (0.006),fantast (0.006),excel (0.006),fantast (0.006),fantast (0.006),fantast (0.006),fantast (0.006),fantast (0.006),fantast (0.006),creamer (0.023),fantast (0.006),fantast (0.006),amaz (0.020),fantast (0.006),fantast (0.006),fantast (0.006),fantast (0.006),best (0.005),fantast (0.006),fantast (0.006),mess (0.006),seem (0.041),mess (0.006),mess (0.006),hand (0.030),mess (0.006),mess (0.006),mess (0.006),mess (0.006),mess (0.006),mess (0.006),mess (0.006),mess (0.006),mess (0.006),mess (0.006),mess (0.006),mess (0.006),bad (0.004),mess (0.006),mess (0.006),mess (0.006),four (0.029),mess (0.006),mess (0.006),bad (0.004),mess (0.006),mess (0.006),hate (0.005),mess (0.006),mess (0.006),
favorit (0.006),favorit (0.006),favorit (0.006),favorit (0.006),favorit (0.006),favorit (0.006),favorit (0.006),favorit (0.006),fantast (0.006),favorit (0.006),favorit (0.006),favorit (0.006),fantast (0.006),favorit (0.006),favorit (0.006),favorit (0.006),favorit (0.006),favorit (0.006),favorit (0.006),decid (0.023),favorit (0.006),favorit (0.006),perfect (0.020),favorit (0.006),favorit (0.006),favorit (0.006),favorit (0.006),comfort (0.005),favorit (0.006),favorit (0.006),nasti (0.006),annoi (0.004),nasti (0.006),nasti (0.006),krup (0.030),nasti (0.006),nasti (0.006),nasti (0.006),nasti (0.006),nasti (0.006),nasti (0.006),nasti (0.006),nasti (0.006),nasti (0.006),nasti (0.006),nasti (0.006),nasti (0.006),complain (0.004),nasti (0.006),nasti (0.006),nasti (0.006),friend (0.029),nasti (0.006),nasti (0.006),complain (0.004),nasti (0.006),nasti (0.006),inferior (0.005),nasti (0.006),nasti (0.006),
